Encounter,Description
Syndra,Syndra unleashes a Carousel of 2-star 4-cost champions.
Tahm Kench,"Stand in puddles to catch fish for Tahm Kench. The more fish he eats, the more loot everyone gets."
Tahm Kench,Tahm Kench offers you a Component Anvil or 10 gold.
Teemo,Teemo adds a Golden Spatula to every champion on Carousel!
Teemo,Teemo lets you reroll all your Augments an extra time this game!
Teemo,Guess your outcome of your next fight. Teemo grants a reward if you're correct.
Thresh,Thresh moves the 2-1 and 3-2 Augments to random rounds.
Thresh,Thresh releases a Carousel of champions all carrying Artifacts.
Tristana ,Tristana grants a gift of gold!
Udyr,Udyr grants 4 free rerolls that last until used.
Udyr,Udyr grants you a support item which lasts for 3 rounds.
Udyr,"For 5 gold, Udyr grants you 2 components based on his chosen form."
Volibear,Volibear fills the Carousel with 3-cost champions.
Wukong,"Wukong grants you 6 Radiant items, which last for 1 round!"
Wukong,Wukong adds a Radiant item to each champion on this Carousel.
Wukong,Wukong activates Chosen: 2-star units that count twice for a trait. Sell your Chosen to buy a new one.
Xayah & Rakan,"Rakan offers to recombobulate your board, or Xayah will give you gold!"
Xayah & Rakan,"Rakan offers to recombobulate your board, or Xayah will give you gold."
Yone,Yone adds a bonus offensive component to every champion on Carousel.
Yone,Yone lets you reroll the next Augment offering 2 additional times.
Yorick,Yorick reduces the cost to rerolls your Shop by 1 for the next 3 rounds.
Yorick,Yorick reduces the cost to reroll your Shop by 1.
Yorick,"Yorick lets you always field at least 7 champions, regardless of level. Gain 10 gold."
Zoe,Zoe changes reality so only odd levels exist this game.
Zoe,Zoe grants you 2 Trickster's Glasses. They vanish in 3 rounds.
Zyra,Choose a component. Zyra grants you 3 copies of it.
